Food code,Start date,End date,Moisture change,Fat change,Type of fat
11519040,1/1/2009,12/31/2010,0,0,0
11519050,1/1/2009,12/31/2010,0,0,0
11519105,1/1/2009,12/31/2010,0,0,0
11519200,1/1/2009,12/31/2010,0,0,0
11519205,1/1/2009,12/31/2010,0,0,0
11520000,1/1/2009,12/31/2010,0,0,0
11521000,1/1/2009,12/31/2010,0,0,0
11522000,1/1/2009,12/31/2010,0,0,0
11525000,1/1/2009,12/31/2010,0,0,0
11526000,1/1/2009,12/31/2010,0,0,0
11527000,1/1/2009,12/31/2010,0,0,0
11531000,1/1/2009,12/31/2010,0,0,0
11531500,1/1/2009,12/31/2010,0,0,0
11541000,1/1/2009,12/31/2010,0,0,0
11541100,1/1/2009,12/31/2010,0,0,0
11541110,1/1/2009,12/31/2010,0,0,0
11541120,1/1/2009,12/31/2010,0,0,0
11541400,1/1/2009,12/31/2010,0,0,0
11541500,1/1/2009,12/31/2010,0,0,0
11541510,1/1/2009,12/31/2010,0,0,0
11542000,1/1/2009,12/31/2010,0,0,0
11542100,1/1/2009,12/31/2010,0,0,0
11542200,1/1/2009,12/31/2010,0,0,0
11551050,1/1/2009,12/31/2010,0,0,0
11552200,1/1/2009,12/31/2010,0,0,0
11553000,1/1/2009,12/31/2010,0,0,0
11553100,1/1/2009,12/31/2010,0,0,0
11560000,1/1/2009,12/31/2010,0,0,0
11560020,1/1/2009,12/31/2010,0,0,0
11561000,1/1/2009,12/31/2010,0,0,0
11561010,1/1/2009,12/31/2010,0,0,0
11611000,1/1/2009,12/31/2010,0,0,0
11612000,1/1/2009,12/31/2010,0,0,0
11613000,1/1/2009,12/31/2010,0,0,0
11622010,1/1/2009,12/31/2010,0,0,0
11623000,1/1/2009,12/31/2010,0,0,0
11631000,1/1/2009,12/31/2010,0,0,0
11641000,1/1/2009,12/31/2010,0,0,0
11641020,1/1/2009,12/31/2010,0,0,0
11710000,1/1/2009,12/31/2010,0,0,0
11710050,1/1/2009,12/31/2010,0,0,0
11710051,1/1/2009,12/31/2010,0,0,0
11710053,1/1/2009,12/31/2010,0,0,0
11710060,1/1/2009,12/31/2010,0,0,0
11710061,1/1/2009,12/31/2010,0,0,0
11710063,1/1/2009,12/31/2010,0,0,0
11710100,1/1/2009,12/31/2010,0,0,0
11710101,1/1/2009,12/31/2010,0,0,0
11710102,1/1/2009,12/31/2010,0,0,0
11710103,1/1/2009,12/31/2010,0,0,0
11710200,1/1/2009,12/31/2010,0,0,0
11710201,1/1/2009,12/31/2010,0,0,0
