Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
67415000,01-Jan-13,31-Dec-14,1,43006,"Babyfood, fruit, tutti frutti, strained",50,GM,0,0,0,50
67415000,01-Jan-13,31-Dec-14,2,43007,"Babyfood, fruit, tutti frutti, junior",50,GM,0,0,0,50
67415010,01-Jan-13,31-Dec-14,1,43006,"Babyfood, fruit, tutti frutti, strained",100,GM,0,0,0,100
67415020,01-Jan-13,31-Dec-14,1,43007,"Babyfood, fruit, tutti frutti, junior",100,GM,0,0,0,100
67430000,01-Jan-13,31-Dec-14,1,3001,"Babyfood, juice treats, fruit medley, toddler",100,GM,0,0,0,100
67430500,01-Jan-13,31-Dec-14,1,3302,"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",100,GM,0,0,0,100
67501000,01-Jan-13,31-Dec-14,1,3297,"Babyfood, dinner, apples and chicken, strained",100,GM,0,0,0,100
67501100,01-Jan-13,31-Dec-14,1,3289,"Babyfood, apples with ham, strained",100,GM,0,0,0,100
67600100,01-Jan-13,31-Dec-14,1,3154,"Babyfood, fruit and vegetable, apple and sweet potato",100,GM,0,0,0,100
71000100,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71000100,01-Jan-13,31-Dec-14,2,81102010,"Margarine, stick, salted",1,TS,10205,0,4,4.729
71000100,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71001000,01-Jan-13,31-Dec-14,1,11352,"Potatoes, flesh and skin, raw",100,GM,0,0,0,100
71101000,01-Jan-13,31-Dec-14,1,11363,"Potatoes, baked, flesh, without salt",1,,61252,0,0,131
71101000,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71101100,01-Jan-13,31-Dec-14,1,11674,"Potatoes, baked, flesh and skin, without salt",1,,61252,0,0,173
71101100,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71101100,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71101110,01-Jan-13,31-Dec-14,1,11674,"Potatoes, baked, flesh and skin, without salt",1,,61252,0,0,173
71101110,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.2,TS,10205,0,5,1.2
71101120,01-Jan-13,31-Dec-14,1,11674,"Potatoes, baked, flesh and skin, without salt",1,,61252,0,0,173
71101120,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71101120,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71101150,01-Jan-13,31-Dec-14,1,11364,"Potatoes, baked, skin, without salt",1,,62852,0,0,58
71101150,01-Jan-13,31-Dec-14,2,11363,"Potatoes, baked, flesh, without salt",0.333,,61252,0,0,43.623
71101150,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103000,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",1,,61252,0,0,167
71103000,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71103000,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103010,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71103010,01-Jan-13,31-Dec-14,2,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103020,01-Jan-13,31-Dec-14,1,11367,"Potatoes, boiled, cooked without skin, flesh, without salt",2,,62389,0,0,156
71103020,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71103020,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
71103100,01-Jan-13,31-Dec-14,1,11365,"Potatoes, boiled, cooked in skin, flesh, without salt",2,,62389,0,0,156
71103100,01-Jan-13,31-Dec-14,2,81100000,"Table fat, NFS",1,TS,10205,0,4,4.729
71103100,01-Jan-13,31-Dec-14,3,2047,"Salt, table",0.16,TS,10205,0,5,0.96
